;"Tracker
Existing Subnet
PT Aplikanusa Lintasarta
PT Mastersystem Infotama, Tbk";;;;;;;;;;;;;;;;;;;;;;;;
No;Namespace;Name;CIDR;Provider;VPC;;;;;;;;;;;;;;;;;;;;
174;loft-pertamina-hulu-mahakam-v-phm-gpu;v462ifjfdowsrq;10.168.21.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
175;loft-rafay-dev-v-rafay-dev;v474qf3pr09asu;10.168.220.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
176;loft-assistx-enterprise-v-sample-project;v480293ueu3cab;10.168.33.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
177;loft-accenture-v-accenture-development;v49fv3rnce3fn6;10.168.78.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
178;loft-edsen-consulting-v-development---vm01---apidb;v49i57mabhxz46;10.168.26.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
179;loft-l2-jatiluhur-v-test-l2;v4bgync4cgbxw6;10.168.56.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
180;loft-ai-cloud-engineering-v-dekallm;v4buwwhdkgbum3;10.168.114.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
181;loft-pt-aplikanusa-lintasarta-v-test-lab-car;v4c87zxicusq3e;10.168.42.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
182;loft-kos-muslimah-v-kos-muslimah;v4e4julxmjje86;10.168.218.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
183;loft-pt-indosat-ooredo-hutchison-v-ioh-pt-bumi-resources;v4eht3lwdr8pqm;10.168.101.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
184;loft-pt-telnusa-intrakom-v-smart-rest-room;v4fbne33ax0xyj;10.168.132.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
